Model,Accuracy,ROC AUC,Avg Precision,F1 (Incorrect),F1 (Correct)
Gradient Boosting,0.9591836734693877,0.960431654676259,0.997581923366883,0.625,0.9784172661870504
Random Forest,0.9523809523809523,0.9586330935251799,0.9976221128540499,0.5333333333333333,0.974910394265233
Logistic Regression (L1),0.9047619047619048,0.9118705035971223,0.9943650294746498,0.4166666666666667,0.9481481481481482
PCA + Logistic Regression,0.9047619047619048,0.8525179856115108,0.9891731085195749,0.4166666666666667,0.9481481481481482
